MOVIES,GENRE,RATING,VOTES,RunTime
Breaking Bad,"
Crime, Drama, Thriller            ",9.4,"1,552,311",49
Stranger Things: Spotlight,"
Talk-Show            ",9.4,98,NA
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.4,"3,721",25
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.6,"4,263",25
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.6,"4,212",25
 Dexter,"
Crime, Drama, Mystery            ",9.6,"8,434",56
 Dexter,"
Crime, Drama, Mystery            ",9.4,"4,870",50
 Mighty Little Bheem,"
Animation, Short, Adventure            ",9.4,8,NA
 Cobra Kai,"
Action, Comedy, Drama            ",9.5,"4,554",41
 Dark,"
Crime, Drama, Mystery            ",9.5,"11,202",60
 Dark,"
Crime, Drama, Mystery            ",9.6,"12,621",54
 Dark,"
Crime, Drama, Mystery            ",9.5,"12,762",57
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.7,"2,770",24
 Rick and Morty,"
Animation, Adventure, Comedy            ",9.5,"10,874",22
 Julie and the Phantoms,"
Comedy, Drama, Family            ",9.4,489,24
 Julie and the Phantoms,"
Comedy, Drama, Family            ",9.4,451,35
 BoJack Horseman,"
Animation, Comedy, Drama            ",9.4,"3,289",27
 BoJack Horseman,"
Animation, Comedy, Drama            ",9.9,"12,369",26
 BoJack Horseman,"
Animation, Comedy, Drama            ",9.6,"4,910",27
 Anne,"
Drama, Family            ",9.4,"1,761",44
 The Last Kingdom,"
Action, Drama, History            ",9.4,"2,105",51
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.5,"3,779",25
 Anne,"
Drama, Family            ",9.6,"2,178",44
 The Dragon Prince,"
Animation, Adventure, Drama            ",9.6,727,NA
 Lucifer,"
Crime, Drama, Fantasy            ",9.4,"4,612",61
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.5,"3,275",47
 The Last Kingdom,"
Action, Drama, History            ",9.4,"2,278",55
 Castlevania,"
Animation, Action, Adventure            ",9.5,"1,949",25
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.5,"3,845",92
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.8,"5,283",92
 Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.9,"8,813",92
 The Midnight Gospel,"
Animation, Adventure, Comedy            ",9.7,"1,731",36
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.5,"1,101",24
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.7,"1,262",24
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.4,"1,045",24
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.5,"1,044",24
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.6,"1,186",24
 She-Ra and the Princesses of Power,"
Animation, Action, Adventure            ",9.7,"1,434",24
 Meerkat Manor,"
Documentary            ",9.6,7,22
 Meerkat Manor,"
Documentary            ",9.4,5,23
 Power Rangers Beast Morphers,"
Action, Adventure, Drama            ",9.5,26,NA
 Dark,"
Crime, Drama, Mystery            ",9.4,"11,905",64
 Dark,"
Crime, Drama, Mystery            ",9.6,"15,128",69
 Dark,"
Crime, Drama, Mystery            ",9.7,"20,230",73
 Glitch Techs,"
Animation, Action, Adventure            ",9.4,35,NA
 Paranormal,"
Drama, Fantasy, Horror            ",9.5,"7,296",53
 Formula 1: Drive to Survive,"
Documentary, Sport            ",9.4,"1,000",51
 Dexter,"
Crime, Drama, Mystery            ",9.5,"5,437",51
 Dexter,"
Crime, Drama, Mystery            ",9.8,"11,638",51
 Dexter,"
Crime, Drama, Mystery            ",9.4,"5,072",51